10/8400 (epoch 0.060), train_loss = 3.05111740, grad/param norm = 4.0495e-01, time/batch = 0.0894s	
20/8400 (epoch 0.119), train_loss = 3.03731135, grad/param norm = 5.2992e-01, time/batch = 0.0904s	
30/8400 (epoch 0.179), train_loss = 2.94633566, grad/param norm = 6.1766e-01, time/batch = 0.0914s	
40/8400 (epoch 0.238), train_loss = 2.84035469, grad/param norm = 4.4150e-01, time/batch = 0.0927s	
50/8400 (epoch 0.298), train_loss = 2.63298517, grad/param norm = 3.7788e-01, time/batch = 0.0911s	
60/8400 (epoch 0.357), train_loss = 2.52505402, grad/param norm = 4.6643e-01, time/batch = 0.0917s	
70/8400 (epoch 0.417), train_loss = 2.47708309, grad/param norm = 5.3569e-01, time/batch = 0.0909s	
80/8400 (epoch 0.476), train_loss = 2.37097485, grad/param norm = 2.7171e-01, time/batch = 0.0907s	
90/8400 (epoch 0.536), train_loss = 2.32655734, grad/param norm = 1.5743e-01, time/batch = 0.0914s	
100/8400 (epoch 0.595), train_loss = 2.32838350, grad/param norm = 2.8430e-01, time/batch = 0.0922s	
110/8400 (epoch 0.655), train_loss = 2.30771498, grad/param norm = 2.1154e-01, time/batch = 0.0911s	
120/8400 (epoch 0.714), train_loss = 2.25722111, grad/param norm = 1.7847e-01, time/batch = 0.0894s	
130/8400 (epoch 0.774), train_loss = 2.18920315, grad/param norm = 2.4680e-01, time/batch = 0.0913s	
140/8400 (epoch 0.833), train_loss = 2.22503133, grad/param norm = 1.5330e-01, time/batch = 0.0920s	
150/8400 (epoch 0.893), train_loss = 2.18201041, grad/param norm = 1.7630e-01, time/batch = 0.0909s	
160/8400 (epoch 0.952), train_loss = 2.12492850, grad/param norm = 1.4916e-01, time/batch = 0.0923s	
170/8400 (epoch 1.012), train_loss = 2.17788677, grad/param norm = 1.4997e-01, time/batch = 0.0927s	
180/8400 (epoch 1.071), train_loss = 2.13962905, grad/param norm = 2.0143e-01, time/batch = 0.0941s	
190/8400 (epoch 1.131), train_loss = 2.14936708, grad/param norm = 1.1928e-01, time/batch = 0.0905s	
200/8400 (epoch 1.190), train_loss = 2.11712476, grad/param norm = 1.1394e-01, time/batch = 0.0917s	
210/8400 (epoch 1.250), train_loss = 2.08959425, grad/param norm = 1.6700e-01, time/batch = 0.0922s	
220/8400 (epoch 1.310), train_loss = 2.10595852, grad/param norm = 1.4151e-01, time/batch = 0.0900s	
230/8400 (epoch 1.369), train_loss = 2.05958505, grad/param norm = 8.4261e-02, time/batch = 0.0910s	
240/8400 (epoch 1.429), train_loss = 2.12054434, grad/param norm = 1.3108e-01, time/batch = 0.0920s	
250/8400 (epoch 1.488), train_loss = 2.07288926, grad/param norm = 1.0825e-01, time/batch = 0.0940s	
260/8400 (epoch 1.548), train_loss = 2.02210320, grad/param norm = 1.0697e-01, time/batch = 0.0902s	
270/8400 (epoch 1.607), train_loss = 1.95402556, grad/param norm = 1.0426e-01, time/batch = 0.0922s	
280/8400 (epoch 1.667), train_loss = 2.04817749, grad/param norm = 7.5026e-02, time/batch = 0.0903s	
290/8400 (epoch 1.726), train_loss = 2.02841288, grad/param norm = 9.1267e-02, time/batch = 0.0915s	
300/8400 (epoch 1.786), train_loss = 2.03282329, grad/param norm = 1.1333e-01, time/batch = 0.0921s	
310/8400 (epoch 1.845), train_loss = 2.00230782, grad/param norm = 7.0758e-02, time/batch = 0.0910s	
320/8400 (epoch 1.905), train_loss = 2.06897256, grad/param norm = 8.1300e-02, time/batch = 0.0913s	
330/8400 (epoch 1.964), train_loss = 1.98774956, grad/param norm = 7.5191e-02, time/batch = 0.0909s	
340/8400 (epoch 2.024), train_loss = 2.03621895, grad/param norm = 6.1585e-02, time/batch = 0.0921s	
350/8400 (epoch 2.083), train_loss = 1.95917834, grad/param norm = 9.1711e-02, time/batch = 0.0928s	
360/8400 (epoch 2.143), train_loss = 1.95886484, grad/param norm = 6.7125e-02, time/batch = 0.0907s	
370/8400 (epoch 2.202), train_loss = 1.97235288, grad/param norm = 9.5432e-02, time/batch = 0.0919s	
380/8400 (epoch 2.262), train_loss = 1.93331232, grad/param norm = 5.8349e-02, time/batch = 0.0921s	
390/8400 (epoch 2.321), train_loss = 1.88499894, grad/param norm = 7.1787e-02, time/batch = 0.0913s	
400/8400 (epoch 2.381), train_loss = 1.94190903, grad/param norm = 7.7509e-02, time/batch = 0.0920s	
410/8400 (epoch 2.440), train_loss = 1.93833578, grad/param norm = 6.2307e-02, time/batch = 0.0911s	
420/8400 (epoch 2.500), train_loss = 1.92678937, grad/param norm = 5.5950e-02, time/batch = 0.0929s	
430/8400 (epoch 2.560), train_loss = 1.87053351, grad/param norm = 7.0021e-02, time/batch = 0.0915s	
440/8400 (epoch 2.619), train_loss = 1.92307485, grad/param norm = 7.0551e-02, time/batch = 0.0911s	
450/8400 (epoch 2.679), train_loss = 1.90986385, grad/param norm = 7.6105e-02, time/batch = 0.0926s	
460/8400 (epoch 2.738), train_loss = 1.91559378, grad/param norm = 6.3399e-02, time/batch = 0.0910s	
470/8400 (epoch 2.798), train_loss = 1.95528635, grad/param norm = 7.8873e-02, time/batch = 0.0910s	
480/8400 (epoch 2.857), train_loss = 1.89082332, grad/param norm = 5.3644e-02, time/batch = 0.0915s	
490/8400 (epoch 2.917), train_loss = 1.89431989, grad/param norm = 5.2694e-02, time/batch = 0.0930s	
500/8400 (epoch 2.976), train_loss = 1.88667798, grad/param norm = 5.5453e-02, time/batch = 0.0910s	
510/8400 (epoch 3.036), train_loss = 1.92891876, grad/param norm = 6.2995e-02, time/batch = 0.0913s	
520/8400 (epoch 3.095), train_loss = 1.90371470, grad/param norm = 4.1991e-02, time/batch = 0.0917s	
530/8400 (epoch 3.155), train_loss = 1.82490320, grad/param norm = 4.6241e-02, time/batch = 0.0920s	
540/8400 (epoch 3.214), train_loss = 1.86081089, grad/param norm = 6.9015e-02, time/batch = 0.0920s	
550/8400 (epoch 3.274), train_loss = 1.83269268, grad/param norm = 6.3456e-02, time/batch = 0.0901s	
560/8400 (epoch 3.333), train_loss = 1.80370293, grad/param norm = 4.6465e-02, time/batch = 0.0933s	
570/8400 (epoch 3.393), train_loss = 1.88048037, grad/param norm = 5.4763e-02, time/batch = 0.0914s	
580/8400 (epoch 3.452), train_loss = 1.83665600, grad/param norm = 5.1806e-02, time/batch = 0.0909s	
590/8400 (epoch 3.512), train_loss = 1.90434594, grad/param norm = 5.5359e-02, time/batch = 0.0925s	
600/8400 (epoch 3.571), train_loss = 1.84415250, grad/param norm = 5.7658e-02, time/batch = 0.0920s	
